id	stage	input_classes	output_classes	mandatory_check	failure_rule	security_controls	boundary_tests	performance_guardrails
RCG-01	Data-only ingress	C2,C4	C4	Transport file host deploy model and network inputs may create only bounded non-executable objects; no ingress endpoint owns executable-mapping or activation authority	Drop or quarantine malformed replayed oversized or unauthorised input with no task mapping listener registration or persistent side effect	SEC-08,SEC-10,SEC-20	BND-11,BND-15,BND-20	PERF-D09-G19,PERF-D09-G21,PERF-D09-G23
RCG-02	Immutable quarantine and origin	C2,C4	C4	Assign content bytes hash acquisition channel peer identity time detected type declared type quarantine and derivation before interpretation	Keep origin-ambiguous or mutable input quarantined non-executable and unable to enter a trusted namespace	SEC-06,SEC-10	BND-11,BND-13	PERF-D14-G19,PERF-D14-G21,PERF-D14-G23
RCG-03	Disposable hostile parsing	C4	C4	Parse packet archive document executable manifest import and model formats only in a zero-authority bounded C4 domain with no JIT	Kill and discard the parser domain on malformed input limit breach or fault; retain no handles state or promoted output	SEC-09,SEC-10,SEC-20	BND-03,BND-11,BND-15	PERF-D25-G19,PERF-D25-G21,PERF-D25-G23
RCG-04	Canonical object and dependency closure	C4	C4	Canonicalise detected type and layout; compute content identity; enumerate every executable section import library driver and runtime dependency by exact hash	Reject ambiguity polyglots cycles missing dependencies parser disagreement and post-hash mutation while all bytes remain data	SEC-02,SEC-09,SEC-10	BND-05,BND-11,BND-13	PERF-D09-G19,PERF-D09-G21,PERF-D09-G23
RCG-05	Signature and trust-path verification	C4	C4	Verify object and complete dependency closure against purpose-bound trusted signers rooted in C0; a name certificate or authenticated transport alone is insufficient	Reject unsigned wrong-purpose unknown-key substituted or corrupted objects before any executable mapping	SEC-01,SEC-02,SEC-15	BND-01,BND-11,BND-20	PERF-D01-G19,PERF-D01-G21,PERF-D01-G23
RCG-06	Revocation freshness and anti-rollback	C0,C1,C4	C4	Check signer and object revocation expiry monotonic version rollback counter and deployment policy freshness against authenticated state	Reject revoked expired replayed or downgraded content and preserve known-good recovery	SEC-01,SEC-02,SEC-17	BND-01,BND-02,BND-12	PERF-D01-G19,PERF-D01-G21,PERF-D01-G23
RCG-07	Signed manifest and minimal dependency surface	C1,C4	C4	Validate imports memory map ABI device request and capability request against the signed manifest and selected deployment profile; unselected components must be absent	Reject undeclared imports drivers parsers listeners executable sections and dependency substitution with zero partial registration	SEC-02,SEC-13,SEC-19	BND-03,BND-05,BND-18	PERF-D22-G19,PERF-D22-G21,PERF-D22-G23
RCG-08	Policy intersection and admission budget	C1,C4	C4	Compute granted capabilities priority ceiling CPU memory queue grant action and device budgets as a subset of signed request current policy and available reserves	Reject or reduce over-requested authority and refuse admission that would endanger existing RT reservations	SEC-05,SEC-14,SEC-20	BND-09,BND-10,BND-15,BND-16	PERF-D10-G19,PERF-D10-G21,PERF-D10-G23
RCG-09	Destroy inspect domain and recreate	C1,C4	C3	Terminate the C4 inspection instance and create a fresh C3 domain with new address-space capability queue handle and generation state; never relabel in place	Abort promotion if teardown is incomplete and leave no C3 process	SEC-05,SEC-10	BND-08,BND-12,BND-20	PERF-D09-G19,PERF-D09-G21,PERF-D09-G23
RCG-10	Exact fresh process mapping	C1,C3	C3	Map only admitted immutable code as RX admitted constants as RO and private mutable state as RW-NX; add guard pages and no inherited mappings beyond the fixed runtime ABI	Destroy the partial domain on overlap alias permission allocation or guard failure before first instruction	SEC-03,SEC-04,SEC-19	BND-04,BND-05,BND-09	PERF-D08-G19,PERF-D08-G21,PERF-D08-G23
RCG-11	Executable seal and no in-place code creation	C1,C3,C4	C3	Deny user W-to-X X-to-W writable executable alias JIT self-modification remote debug write process write and raw loader operations; executable state names the verified content hash	Terminate the requesting domain or reject before permission change while existing code identity remains intact	SEC-02,SEC-03,SEC-19	BND-04,BND-05,BND-20	PERF-D08-G15,PERF-D08-G19,PERF-D08-G23
RCG-12	Explicit attributable activation	C1,C3	C3	Start only the newly admitted domain through the scheduler with kernel-derived identity class provenance generation budgets and exact capability set recorded before entry	Refuse activation on missing or mismatched metadata; network shell model file and deploy handlers cannot directly dispatch payload bytes	SEC-05,SEC-14	BND-09,BND-10,BND-17	PERF-D11-G19,PERF-D11-G21,PERF-D11-G23
RCG-13	Runtime blast-radius containment	C1,C2,C3,C4	C1,C2,C3,C4	Enforce Protection Domain memory capability IPC scheduling quota provenance device and fault contracts even if admitted code is fully attacker-controlled	Contain kill and revoke the compromised domain before it crosses an ungranted boundary or accumulates authority across attempts	SEC-03,SEC-04,SEC-05,SEC-16,SEC-18,SEC-20	BND-04,BND-07,BND-14,BND-15,BND-19,BND-20	PERF-D25-G19,PERF-D25-G20,PERF-D25-G21
RCG-14	Termination recovery and durable non-persistence	C0,C1,C2,C3,C4	C0,C1	Revoke and wipe the failed domain before reuse; keep the system image immutable; activate updates only through signed atomic A-B recovery and local trust-root ceremony	Remain on or restore a known-good image and keep remote input unable to alter trust roots rollback state or recovery policy	SEC-01,SEC-12,SEC-17	BND-01,BND-02,BND-08,BND-20	PERF-D01-G19,PERF-D01-G21,PERF-D01-G23
