feature_id	implementation_classes	subject_classes	authority_posture	hostile_inputs	boundary_tests	protection_domain_contracts	code_admission_gates	required_boundary_evidence
FEAT-P0-01	C0,C1	C0,C1,C2,C3,C4	Boot and governance may verify measure transfer or reject but never grant runtime ambient authority	Boot artifacts toolchain inputs manifests catalogue rows and repository changes	BND-01,BND-02,BND-03,BND-17,BND-18	PD-02,PD-12,PD-13,PD-14	RCG-05,RCG-06,RCG-07,RCG-12,RCG-14	Authenticated handoff no C0 runtime re-entry privileged-parser absence complete class mappings and negative profile evidence
FEAT-P0-02	C1	C2,C3,C4	Scheduling priority and containment class are orthogonal and task creation grants no capabilities	Task metadata priorities deadlines faults and adversarial runnable-set pressure	BND-04,BND-15,BND-16,BND-17,BND-20	PD-01,PD-02,PD-07,PD-08,PD-09,PD-12,PD-13	RCG-10,RCG-12,RCG-13,RCG-14	Complete security context switch cross-class memory denial priority-safe reserves and single-fault containment
FEAT-P0-03	C1	C1,C2,C3,C4	Allocation returns bounded generation-safe storage but conveys no cross-domain access	Capacity edges stale handles reuse pressure and adversarial allocation sequences	BND-04,BND-15,BND-20	PD-01,PD-06,PD-08,PD-13	RCG-09,RCG-10,RCG-13,RCG-14	No stale alias no residual data deterministic exhaustion and no cross-class page or handle reuse
FEAT-P0-04	C0,C1	C2	Hardware discovery describes devices but does not select drivers or grant DMA IRQ or MMIO	Firmware tables interrupts timers topology records and malicious device state	BND-02,BND-06,BND-07,BND-08,BND-18,BND-20	PD-02,PD-08,PD-10,PD-12,PD-13	RCG-07,RCG-12,RCG-13,RCG-14	Bounded parsing normalized topology zero implicit device authority and contained device lifecycle evidence
FEAT-P0-05	C1,C4	C3,C4	Parsing grants nothing and mapping may create only a fresh C3 address space after verification and policy	PE TXE imports sections malformed binaries compatibility calls and adaptive executable payloads	BND-03,BND-04,BND-05,BND-09,BND-10,BND-11,BND-12,BND-19,BND-20	PD-01,PD-02,PD-03,PD-04,PD-05,PD-06,PD-08,PD-11,PD-12,PD-13,PD-14	RCG-01,RCG-02,RCG-03,RCG-04,RCG-05,RCG-06,RCG-07,RCG-08,RCG-09,RCG-10,RCG-11,RCG-12,RCG-13,RCG-14	Disposable hostile parsing signed promotion W-X private mappings empty launch authority and exploit-campaign containment
FEAT-P0-06	C1	C0,C1,C2,C3,C4	A spoor observes a decision but never authorizes it and class identity is part of every boundary record	Caller identifiers wrap pressure faults denials restarts promotions and concurrent event streams	BND-17	PD-02,PD-08,PD-11,PD-13	RCG-02,RCG-08,RCG-12,RCG-13,RCG-14	Ordered attributable class-aware non-torn records with reserved critical capacity and bounded overhead
FEAT-P0-07	C1	C2,C3,C4	IPC transfers bounded data only while shared authority requires an explicit rights-sized delegable grant	Compromised peers forged endpoints handle smuggling stale grants queue floods and teardown races	BND-04,BND-08,BND-09,BND-14,BND-15,BND-20	PD-02,PD-03,PD-05,PD-06,PD-08,PD-09,PD-13,PD-14	RCG-08,RCG-09,RCG-12,RCG-13,RCG-14	Directional endpoint denial non-transferable capabilities transactional grants revocation on death and bounded backpressure
FEAT-P0-08	C3	C4	Packaging changes layout only and cannot promote trust sign content or grant execution authority	Malformed PE images conflicting metadata reproducibility inputs and substituted output artifacts	BND-10,BND-11,BND-12,BND-13	PD-03,PD-04,PD-11,PD-12,PD-14	RCG-02,RCG-04,RCG-05,RCG-06,RCG-07,RCG-08,RCG-09,RCG-11,RCG-13,RCG-14	Deterministic output remains C4 until independent signature provenance policy and fresh-process promotion checks pass
FEAT-P1-01	C0,C1	C1,C2	Measurement observes timed code with caller authority only and grants nothing	Serial measurement streams committed baseline files and malformed timing reports	BND-15,BND-16,BND-17	PD-07,PD-08	RCG-13,RCG-14	Calibrated bounded instrumentation fail-closed baseline parsing and regression gate demonstrated to fail
FEAT-P1-02	C0,C1	C1,C2,C3	Fault handling terminates or resumes the faulting context only and never widens authority	Fault frames error codes faulting addresses and attacker-steered execution reaching any vector	BND-04,BND-17,BND-20	PD-02,PD-12,PD-13	RCG-13,RCG-14	Per-vector injection fixtures single-task termination containment spoor-attributed faults and IST survival evidence
FEAT-P1-03	C0,C1	C1,C2,C3,C4	Address-space installation isolates domains and confers no authority beyond each task manifest mapping	Cross-space probes W-to-X and X-to-W attempts stale teardown mappings and hostile section permissions	BND-04,BND-05,BND-20	PD-01,PD-04,PD-13	RCG-10,RCG-11	Adversarial cross-space fault evidence both-direction W^X violation faults teardown wipe and generation-advance proof
FEAT-P1-04	C0,C1	C1,C2	Preemption and overrun enforcement remove CPU from offenders and never grant priority or authority	Busy-looping tasks WCET overruns priority-inversion interleavings and tick-storm timing	BND-15,BND-16,BND-17	PD-07,PD-08	RCG-13,RCG-14	Measured preemption bound inversion-avoidance demonstration per-policy overrun trips and spoor-attributed enforcement
FEAT-P1-05	C0,C1	C1,C2,C3,C4	Load generation exercises declared budgets only and denial work is charged to the offender	Saturation floods across pools task slots journal IPC and ready queue from a compromised-class generator	BND-15,BND-16,BND-20	PD-07,PD-08,PD-09	RCG-08,RCG-13	Raw campaign distributions RT-reserve preservation bounded attributable denial and bounded complete recovery
FEAT-P1-06	C0,C1	C1,C2	Only the declared actuation task reaches the output primitive and overrun prevents late actuation	Overrunning actuation workloads hostile background load and timing perturbation of the actuation path	BND-15,BND-16,BND-17	PD-05,PD-07,PD-08	RCG-12,RCG-13	End-to-end latency distributions under idle and hostile load demonstrated overrun trip and named hardware-tier debt
FEAT-P9-01	C0	C0,C1	Residency reduction removes data and never grants authority class or priority	Hostile images with adversarial section layouts and dumps taken at arbitrary points in a task lifetime	BND-02,BND-17,BND-20	PD-12,PD-13	RCG-13,RCG-14	Dump-scan hit counts before and after teardown a proven-able-to-fail scanner and a zeroed staging arena confirmed externally
FEAT-P9-02	C0	C0	Entropy is a charged bounded resource and a caller that cannot be served is refused not degraded	Drained hardware pools degraded sources requesting callers attempting to starve an RT task of extraction budget	BND-01,BND-17,BND-20	PD-07,PD-08	RCG-13,RCG-14	Health-test trips on known-bad sequences typed refusal on exhaustion bounded extraction cost and an explicit determinism carve-out
