behaviour	msdos	linux	windows_terminal	tinyos_decision	status	evidence	perf
verb:list	DIR: /P /W only in 4.0 (no /S /A /O /B); header = volume label + serial + "Directory of %1"; 8+3 name columns, "<DIR>" marker, "%1 File(s)" + "%1 bytes free" footer; /P pauses via "Press any key to continue . . ."; no-match = "File not found"	POSIX ls: -R recursive, -l long, columns by tty width; no built-in paging; exit 0/>0	n/a (shell verb, not terminal host)	canonical list; /S<->-R, /W column, /P paged. DIVERGENCE: DOS 4.0 DIR has no /S -- recursion is a post-4.0 DIR feature; TinyOS adopts it deliberately	spec-level	external/MsDOS v4.0/src/CMD/COMMAND/TDATA.ASM:678-696, TCMD1A.ASM:237-590; docs/cli-compatibility-mvp.md; LE-48	PERF-D23,PERF-D14
verb:change-dir	CD/CHDIR: no switches; error "Invalid directory"	POSIX cd: builtin, CDPATH, cd - ; error "No such file or directory"	n/a	canonical change-dir, both spellings	spec-level	external/MsDOS v4.0/src/CMD/COMMAND/TDATA.ASM:635-643, TENV2.ASM:120-145	PERF-D23,PERF-D14
verb:print-cwd	CD with no arg (or CD d:) prints "D:\path"	pwd (also cd with no arg goes HOME -- different!)	n/a	CD no-arg prints cwd in both flavours (DOS semantics win for the no-arg form; POSIX users get pwd)	spec-level	external/MsDOS v4.0/src/CMD/COMMAND/TCMD2A.ASM:232-266; docs/cli-compatibility-mvp.md	PERF-D23
verb:copy	COPY: /A /B /V per-operand; + concatenation; SILENTLY OVERWRITES -- no confirmation prompt anywhere in 4.0 COPY.ASM; "%1 File(s) copied"; recursion only via external XCOPY (/A /D /E /M /P /S /V /W, F-or-D prompt, /P per-file "(Y/N)?")	POSIX cp: -r recursive, -i interactive prompt (not default); silent overwrite is also the POSIX default	n/a	canonical copy; /S<->-r tree copy. DIVERGENCE from both references: G-SEC-5 labels survive every copy, and clipboard transfers are the same verb class (EPIC-P2 5, 6.2)	spec-level	external/MsDOS v4.0/src/CMD/COMMAND/COPY.ASM:233-390,715; v4.0/src/CMD/XCOPY/XCOPYPAR.ASM:329-354, XCOPY.SKL	PERF-D23,PERF-D14
verb:move	ABSENT: MOVE does not exist in MS-DOS 4.0 (not in COMTAB, no source dir); REN renames in place only, 2 operands, "Duplicate file name or file not found"	POSIX mv: rename or move-to-dir, disambiguated by dest; -i optional	n/a	canonical move/rename bound to MOVE and REN. DIVERGENCE: the MOVE binding is a post-4.0 DOS-ism (DOS 6+) adopted for operator muscle memory, not 4.0 parity	spec-level	external/MsDOS v4.0/src/CMD/COMMAND/TDATA.ASM:280-352 (COMTAB, no MOVE), TCMD1B.ASM:222-334	PERF-D23,PERF-D14
verb:delete	DEL/ERASE: /P only; all-wildcard (*.*) => "All files in directory will be deleted!" + "Are you sure (Y/N)?"; /P per-file ",    Delete (Y/N)?"; no /S in 4.0	POSIX rm: -r recursive, -f force, -i prompt; no default confirmation	n/a	canonical delete; /S<->-r STILL requires confirmation policy in interactive sessions; scripts need an explicit non-interactive flag (cli-compatibility-mvp Safety). Stricter than both references by design	spec-level	external/MsDOS v4.0/src/CMD/COMMAND/TDATA.ASM:652-666, TUCODE.ASM:86-215	PERF-D23,PERF-D14
verb:make-dir	MD/MKDIR: no switches; "Directory already exists" / "Unable to create directory"	POSIX mkdir: -p parents; "File exists"	n/a	canonical make-dir, both spellings	spec-level	external/MsDOS v4.0/src/CMD/COMMAND/TENV2.ASM:161-190	PERF-D23,PERF-D14
verb:remove-dir	RD/RMDIR: no switches; "Invalid path, not directory, or directory not empty"; cannot remove current dir	POSIX rmdir: empty only; rm -r for trees	n/a	canonical remove-dir; non-empty removal requires explicit recursive flag in BOTH flavours (stricter than rm -r alone)	spec-level	external/MsDOS v4.0/src/CMD/COMMAND/TENV2.ASM:255-275	PERF-D23,PERF-D14
verb:view-file	TYPE: no switches; wildcards rejected ("Invalid filename or file not found"); stops at first ^Z; no paging	POSIX cat: multi-file concatenation, -n; no ^Z semantics	n/a	canonical view-file; MVP is sequential dump, no multi-file concatenation; ^Z-stop NOT adopted (no CP/M inheritance to honour)	spec-level	external/MsDOS v4.0/src/CMD/COMMAND/TCMD1B.ASM:376-464	PERF-D23,PERF-D14
verb:find-text	FIND: /V /C /N; string must be double-quoted, one string only; per-file heading "---------- file"; ERRORLEVEL 0 ok, 2 error -- level 1 (no match) defined but NEVER ASSIGNED in 4.0; errors to STDERR prefixed "FIND: "	POSIX grep: regex, many flags; exit 0 match / 1 no match / 2 error	n/a	canonical find-text; literal + basic wildcard only at MVP, full regex later. Exit-code convention: adopt the POSIX 0/1/2 triple, which 4.0 FIND documents but fails to implement	spec-level	external/MsDOS v4.0/src/CMD/FIND/FIND.ASM:37-42,158-160,387-397,964,1592	PERF-D23,PERF-D14
verb:sort-stream	SORT: /R reverse, /+n column; 64K input ceiling; ERRORLEVEL 0/1; "SORT: " STDERR prefix	POSIX sort: -r -k -n etc.; no size ceiling	n/a	canonical sort-stream; bounded-memory implementation is a TinyOS requirement (fixed-capacity doctrine), so a documented input ceiling is honest DOS heritage -- but the bound is declared, not 64K-because-segments	spec-level	external/MsDOS v4.0/src/CMD/SORT/SORT.ASM:19-21,265-309,836-851	PERF-D23,PERF-D14
verb:page	MORE: no switches; "-- More --" on STDERR; any key continues (reads via STDERR dup after CLOSING stdin handle 0); screen size from ANSI IOCTL else 25x80 default; ^Z stops	POSIX more: space/enter paging, /pattern search; less is the modern default (not MVP)	terminal itself does not page -- scrollback replaces paging for interactive use	canonical page = more, not full less. The keyboard source question MORE solved by handle games is solved properly by the tab host: input routed to the focused tab only (EPIC-P2 6.3)	spec-level	external/MsDOS v4.0/src/CMD/MORE/MORE.ASM:94-231, MORE.SKL	PERF-D23,PERF-D14
verb:tree-view	TREE: /F files, /A ASCII graphics; default graphics C0/C4/C3/B3, /A gives \ - + |; "Directory PATH listing for Volume %1"; ERRORLEVEL 0/1/2/3 (3 = Ctrl-Break)	tree (not POSIX; common util): -a -d -L; unicode line art with ASCII fallback	n/a	canonical tree-view; the /A degrade-to-ASCII rule is generalised by EPIC-P2 6.5 rule 2: ASCII is the CANONICAL form for Reports, graphics are the enhancement	spec-level	external/MsDOS v4.0/src/CMD/TREE/TREE.ASM:34-40,277-294, TREEPAR.ASM:301-302, TREE.SKL	PERF-D23,PERF-D14
verb:attrib-view	ATTRIB: +R -R +A -A, /S recurse; 16-col attribute display; exit code DISCARDED in 4.0 (C exit() with no argument -- PTM 3588 comment); "Are you sure (Y/N)?" only for code-page mismatch	ls -l permission column; chmod -- multi-user mode model	n/a	attrib-view maps R/H/S/A to a capability-scoped view, NOT a POSIX UID/GID/mode triad (cli-compatibility-mvp Non-goals); every verb returns a meaningful exit code (the 4.0 discard is a counter-example)	spec-level	external/MsDOS v4.0/src/CMD/ATTRIB/ATTRIB.C:43-56,413-424,760-781, ATTRIB.H:279,432-436	PERF-D23,PERF-D14
verb:env	SET: exactly one =, SET alone dumps env, NAME= deletes, "Out of environment space", COMSPEC special-cased; PATH: PATH ; clears, no-arg prints PATH=value, "No Path" when empty	POSIX env/export/echo $VAR; unset; PATH colon-separated	n/a	canonical env-get/env-set; %VAR% and $VAR expansion both supported by the parser layer; per-session (per-tab) environment, an authority boundary per EPIC-P2 6.1	spec-level	external/MsDOS v4.0/src/CMD/COMMAND/TENV.ASM:102-170, TCMD2A.ASM:283-380	PERF-D23
