id	invariant	scope	enforcement	failure_rule	security_controls	boundary_tests	performance_guardrails
PD-01	Private active address spaces	C1,C2,C3,C4	Load the selected domain page-table root before execution; keep peer and kernel writable pages unreachable; use guard pages and exact U-S NX W-X permissions	Fault or reject in the attacker domain with victim bytes mappings and schedule unchanged	SEC-03,SEC-19	BND-04,BND-05,BND-20	PERF-D08-G19,PERF-D08-G21,PERF-D08-G23
PD-02	Kernel-derived caller identity	C1,C2,C3,C4	Resolve actor domain class and generation from the running TCB; never from caller-supplied identifiers	Reject identity mismatch before lookup or side effect and record the attempted confusion	SEC-05,SEC-14	BND-14,BND-17,BND-20	PERF-D11-G19,PERF-D11-G23
PD-03	Empty authority first	C1,C2,C3,C4	Create an empty capability space and install only the rights-reduced manifest-policy intersection before first execution	Refuse launch or omit the denied capability; never inherit creator ambient authority or secrets	SEC-05,SEC-10,SEC-15	BND-09,BND-10,BND-12	PERF-D10-G14,PERF-D10-G15,PERF-D10-G23
PD-04	Executable memory is sealed	C1,C2,C3,C4	Only the admitted-object loader may create immutable executable mappings; deny W-X aliases JIT debug writes process writes and in-place permission elevation	Reject before mapping and destroy any staged partial address space	SEC-02,SEC-03,SEC-19	BND-04,BND-05,BND-20	PERF-D08-G15,PERF-D08-G19,PERF-D08-G23
PD-05	Typed bounded mediated IPC	C1,C2,C3,C4	Use fixed-schema fixed-capacity directional endpoints; copy arguments into kernel-owned storage; transfer no authority unless the schema names a delegable rights-reduced capability	Reject wrong endpoint direction schema size replay or undeclared handle with queues and grants unchanged	SEC-04,SEC-05,SEC-14	BND-14,BND-15,BND-17	PERF-D12-G19,PERF-D12-G21,PERF-D12-G23
PD-06	Explicit generation-safe shared memory	C1,C2,C3,C4	Bind each grant to owner recipient pages rights lifetime and generation; default read-only and allow one declared writer	Reject overreach forgery stale use and partial grant atomically; revoke every mapping on death	SEC-03,SEC-04	BND-04,BND-08,BND-14	PERF-D08-G19,PERF-D08-G21,PERF-D08-G23
PD-07	Temporal isolation	C1,C2,C3,C4	Bind runnable domains to enforced CPU budget period affinity and policy-controlled priority ceiling independent of containment class	Make a depleted domain unrunnable until replenishment while admitted RT work continues	SEC-05,SEC-20	BND-15,BND-16,BND-20	PERF-D05-G19,PERF-D05-G21,PERF-D05-G23
PD-08	Finite charged resources	C1,C2,C3,C4	Charge pages objects messages grants retries parser work model actions and outstanding calls to per-domain quotas with reserved C0 C1 and RT pools	Fail deterministically inside the exhausting domain and recover within its declared budget	SEC-20	BND-15,BND-16,BND-20	PERF-D25-G20,PERF-D25-G21,PERF-D25-G22
PD-09	Caller-funded broker work	C1,C2,C3,C4	Charge C2 request execution and per-client queue occupancy to the requesting scheduling context except for a small bounded recovery reserve	Cancel throttle or deny the client when its budget expires without consuming another client or broker reserve	SEC-05,SEC-20	BND-15,BND-16,BND-20	PERF-D12-G19,PERF-D12-G20,PERF-D12-G21
PD-10	Device-bound DMA IRQ and MMIO	C1,C2	Map only selected current-generation device resources to an isolated C2 service and constrain DMA by IOMMU or wiped bounce buffer	Quiesce and fault the device domain; revoke translations interrupts and mappings before reset or reuse	SEC-13,SEC-18	BND-06,BND-07,BND-08,BND-18,BND-20	PERF-D22-G19,PERF-D22-G21,PERF-D22-G23
PD-11	Non-increasing provenance and partitioned state	C1,C2,C3,C4	Carry immutable origin signer trust entitlement derivation and quarantine labels through IPC storage and transforms; partition optional tracking state by origin	Downgrade or quarantine ambiguous output and deny cross-origin or trust-raising use	SEC-06,SEC-07,SEC-11	BND-11,BND-12,BND-13,BND-20	PERF-D14-G19,PERF-D14-G21,PERF-D14-G23
PD-12	Fault containment and parser exclusion	C1,C2,C3,C4	Route exceptions to bounded fault handling; keep packet file executable document model archive filesystem and device-format parsers outside C1	Stop or restart the faulting domain without kernel panic peer mutation authority growth or missed RT reserve	SEC-09,SEC-19,SEC-20	BND-03,BND-15,BND-20	PERF-D25-G19,PERF-D25-G21,PERF-D25-G22
PD-13	Revoke wipe and advance generation before reuse	C1,C2,C3,C4	Stop scheduling and ingress then revoke capabilities IPC memory DMA IRQ MMIO queues and secrets; invalidate translations; wipe state; advance every reused generation	Keep the resource unavailable if any teardown stage cannot be proven complete	SEC-04,SEC-05,SEC-12,SEC-18	BND-04,BND-08,BND-12,BND-20	PERF-D09-G19,PERF-D09-G21,PERF-D09-G23
PD-14	No ambient namespace or class-derived authority	C1,C2,C3,C4	Require explicit object endpoint route file process driver install deploy secret and administration capabilities; class and priority grant none	Reject unresolved names or missing capabilities before global lookup registration or mutation	SEC-05,SEC-07,SEC-08,SEC-11,SEC-14	BND-09,BND-10,BND-14,BND-16,BND-18	PERF-D10-G19,PERF-D10-G21,PERF-D10-G23
