id	domain	guardrail	title	phase	tier	readiness	gate	status	metric	target	safety_invariant
PERF-D01-G01	D01	G01	Boot and topology discovery: median latency	P0	T0+T1+T2	prototype	release	specified	latency_us_p50	p50 <= 500 us	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D01-G02	D01	G02	Boot and topology discovery: p99 latency	P0	T0+T1+T2	prototype	release	specified	latency_us_p99	p99 <= 1000 us	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D01-G03	D01	G03	Boot and topology discovery: p99.9 tail latency	P0	T0+T1+T2	prototype	release	specified	latency_us_p99_9	p99.9 <= 1500 us	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D01-G04	D01	G04	Boot and topology discovery: observed maximum and WCET bound	P0	T0+T1+T2	prototype	release	specified	latency_us_max	observed max <= 2000 us and declared bound has >= 20% evidence margin	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D01-G05	D01	G05	Boot and topology discovery: jitter envelope	P0	T0+T1+T2	prototype	release	specified	latency_jitter	p99-p50 <= 500 us and run-to-run p99 CV <= 5%	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D01-G06	D01	G06	Boot and topology discovery: median CPU cycles	P0	T0+T1+T2	prototype	release	specified	cpu_cycles_p50	p50 <= 1500000 cycles	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D01-G07	D01	G07	Boot and topology discovery: p99 CPU cycles	P0	T0+T1+T2	prototype	release	specified	cpu_cycles_p99	p99 <= 4000000 cycles	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D01-G08	D01	G08	Boot and topology discovery: microarchitectural efficiency	P0	T0+T1+T2	prototype	release	specified	instructions_branch_cache	retired instructions <= 8000000; branch misses <= 1%; L1D misses <= 3%	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D01-G09	D01	G09	Boot and topology discovery: image and feature footprint	P0	T0+T1+T2	prototype	release	specified	image_bytes	feature code plus read-only data delta <= 96 KiB	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D01-G10	D01	G10	Boot and topology discovery: peak working memory	P0	T0+T1+T2	prototype	release	specified	working_memory_kib	peak OS-owned working memory for work unit <= 128 KiB	Malformed firmware data fails closed and no task runs from an unvalidated topology
