id	name	category	support_level	roadmap_horizon	execution_model	containment_classes	performance_domains	security_controls	network_posture	code_policy	required_evidence
APP-01	TinyOS real-time core and native task model	core	core-native	now	C0 verified handoff into a C1 kernel that schedules capability-scoped C2 services and C3 TXE tasks	C0,C1,C2,C3,C4	D01,D02,D03,D04,D05,D06,D07,D08,D10,D11,D12,D13,D21,D24,D25	SEC-01,SEC-02,SEC-03,SEC-04,SEC-05,SEC-09,SEC-10,SEC-12,SEC-13,SEC-14,SEC-16,SEC-17,SEC-18,SEC-19,SEC-20	No network dependency for the RT core and no default listener	Signed sealed TXE only with no runtime code generation or ambient loader	Active CR3 fault containment capability enforcement bounded scheduling teardown negative footprint and HIL timing evidence
APP-02	Blue Atom and blue-sharc context pipeline	ai	native-txe	next	Signed C3 context and tooling tasks exchange content-addressed atoms through bounded IPC while external model or repository bytes remain C4	C3,C4	D09,D10,D11,D12,D16,D18,D20,D24,D25	SEC-02,SEC-04,SEC-05,SEC-06,SEC-08,SEC-10,SEC-12,SEC-14,SEC-16,SEC-19,SEC-20	Local IPC by default and capability-scoped HBP or WCI only when selected	blue.atom remains a context and dispatch artifact rather than an inference engine and every executable result uses RCG-01..RCG-14	Separate context-preparation TTFT token-rate quality provenance denial-cost and hostile-input results
APP-03	Local LLM inference and token service	ai	isolated-runtime	later	Budgeted C3 inference supervisor uses C2 GPU and storage brokers while prompts model files tool output and generated content remain C4 inputs	C2,C3,C4	D08,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D20,D24,D25	SEC-02,SEC-03,SEC-04,SEC-05,SEC-06,SEC-08,SEC-09,SEC-10,SEC-12,SEC-14,SEC-15,SEC-16,SEC-18,SEC-19,SEC-20	No listener unless an authenticated inference endpoint capability is selected	Model runtime cannot grant tools load unsigned plugins or consume RT reserves and generated code follows the full RCG chain	TTFT tokens-per-second quality-adjusted latency memory bandwidth GPU isolation thermal energy and Fable-campaign evidence
APP-04	Physical AI and motion-control suite	control	native-txe	next	Signed C3 motion and process tasks communicate with restartable C2 device services through bounded typed spoors and IPC	C2,C3	D02,D03,D04,D05,D06,D07,D08,D10,D11,D12,D13,D18,D19,D20,D21,D24,D25	SEC-03,SEC-04,SEC-05,SEC-06,SEC-08,SEC-09,SEC-10,SEC-12,SEC-13,SEC-14,SEC-16,SEC-18,SEC-19,SEC-20	Network command paths are optional authenticated and never in the servo loop	No downloaded motion code and all state-changing commands pass ACI and the deployment safety policy	WCET jitter priority-inversion safe-state sensor-staleness multi-axis and hostile-network HIL evidence
APP-05	Tauri Rust plus web-frontend applications	framework	native-txe	later	A signed C3 Rust core uses a least-authority local WebView domain and typed IPC instead of granting frontend code direct system access	C3,C4	D08,D09,D10,D11,D12,D13,D14,D18,D20,D21,D23,D24,D25	SEC-02,SEC-03,SEC-04,SEC-05,SEC-06,SEC-07,SEC-08,SEC-09,SEC-10,SEC-11,SEC-12,SEC-14,SEC-16,SEC-19,SEC-20	Local packaged UI has no network by default and remote origins run in a separate C4 renderer	Local assets may use manifest-scoped commands but remote content receives no application IPC capability	Framework conformance cold-start frame-time memory IPC ACL CSP origin-isolation and renderer-compromise evidence
APP-06	Wails Go plus web-frontend applications	framework	native-txe	later	Ahead-of-time Go C3 backend uses a least-authority local WebView domain with generated bindings translated into typed capability calls	C3,C4	D08,D09,D10,D11,D12,D13,D14,D18,D20,D21,D23,D24,D25	SEC-02,SEC-03,SEC-04,SEC-05,SEC-06,SEC-07,SEC-08,SEC-09,SEC-10,SEC-11,SEC-12,SEC-14,SEC-16,SEC-19,SEC-20	Local packaged UI has no network by default and remote origins run in a separate C4 renderer	Go runtime and WebView are optional profile components and frontend bindings cannot expose generic shell file process or network authority	Go ABI runtime footprint GC-pause frame-time IPC binding origin-isolation and renderer-compromise evidence
APP-07	.NET 10 or later C# applications	runtime	managed-aot	later	Production C3 applications prefer self-contained Native AOT and call TinyOS only through generated capability-safe bindings	C3	D08,D09,D10,D11,D12,D13,D14,D18,D20,D21,D23,D24,D25	SEC-02,SEC-03,SEC-04,SEC-05,SEC-06,SEC-07,SEC-08,SEC-09,SEC-10,SEC-12,SEC-14,SEC-16,SEC-19,SEC-20	No endpoint unless declared in the signed manifest	No Reflection.Emit Assembly.LoadFile unrestricted PInvoke COM remoting generic process injection or name-only native loading and interop targets are hash-pinned TON objects	AOT analyzer clean build ABI conformance startup footprint GC and allocation bounds PInvoke denial and malicious-assembly evidence
APP-08	Node.js current-LTS application runtime	runtime	isolated-runtime	later	A dedicated C3 runtime domain receives an application-specific module graph and capability broker endpoints with OS enforcement below the runtime	C3,C4	D08,D09,D10,D11,D12,D13,D14,D18,D20,D21,D23,D24,D25	SEC-02,SEC-03,SEC-04,SEC-05,SEC-06,SEC-07,SEC-08,SEC-09,SEC-10,SEC-11,SEC-12,SEC-14,SEC-16,SEC-19,SEC-20	Network filesystem child process worker inspector WASI FFI and addon rights are separately absent by default	Node permission flags are defense in depth only and TinyOS denies native addons FFI inspector process signalling and in-place JIT absent explicit profile policy	JITless and sealed-code modes module-provenance startup throughput memory event-loop starvation addon-denial and sandbox-escape evidence
APP-09	Bun application runtime	runtime	isolated-runtime	research	A dedicated C3 Bun domain uses an admitted module graph while transpilation package scripts FFI and native plugins are isolated as C4 production inputs	C3,C4	D08,D09,D10,D11,D12,D13,D14,D18,D20,D21,D23,D24,D25	SEC-02,SEC-03,SEC-04,SEC-05,SEC-06,SEC-07,SEC-08,SEC-09,SEC-10,SEC-11,SEC-12,SEC-14,SEC-16,SEC-19,SEC-20	No network child process shell FFI or addon capability by default	Not production-admissible until JavaScriptCore JIT transpiler FFI dlopen native-addon and lifecycle-script paths satisfy the Charter	Bun conformance startup memory package-script denial FFI isolation code-generation path and adversarial plugin evidence
APP-10	Dangerous Dave compatibility game	game	native-txe	later	A source-port or legally supplied compatible engine runs as a signed C3 task through bounded display audio input clock and storage APIs	C3	D03,D04,D05,D07,D08,D11,D12,D13,D14,D21,D24,D25	SEC-02,SEC-03,SEC-04,SEC-05,SEC-07,SEC-10,SEC-12,SEC-14,SEC-19,SEC-20	No network capability	No emulator or game package gains raw device file or executable-loading authority	Correctness input latency frame pacing audio continuity save isolation footprint and long-soak evidence
