id	control	threat	invariant	containment_classes	required_evidence	phase	gate
SEC-01	Hardware-rooted verified boot	Boot-chain replacement and unsigned kernel execution	No unverified boot stage or system image becomes executable	C0,C1	Corrupt unsigned downgraded and wrong-key images are rejected in C0 before C1 transfer with recovery remaining available	P0+P1.5	release
SEC-02	Signed TXE and TON provenance	Executable hijacking substitution and rollback	Every executable object is content-addressed signed origin-labelled and anti-rollback checked before mapping	C0,C1,C3,C4	Bit flip truncation substitution signer revocation and rollback corpus all fail closed while the object remains non-executable C4 data	P0+P5	release
SEC-03	Per-process address-space isolation	Cross-process read write execute and control-flow tampering	No process can read write execute or remap another process memory without an explicit typed grant	C1,C2,C3,C4	Hostile page-table pointer overflow guard-page W-X and all-class-pair fault tests under active MMU isolation	P0+P1	release
SEC-04	Explicit revocable shared-memory grants	Illegal or stale memory sharing	Shared memory exists only through bounded rights-sized grants with generation-safe revocation	C1,C2,C3,C4	Grant forge overreach use-after-revoke double-map cross-class and stale-handle tests leave both processes contained	P0	release
SEC-05	Sandbox-first least authority	Ambient privilege confused-deputy escalation and trust-tier privilege inheritance	New C2 C3 and C4 domains begin empty and containment class never grants authority	C1,C2,C3,C4	Deny-by-default launch class-confusion capability-confusion promotion and teardown tests prove zero residual or inherited authority	P0+P5	release
SEC-06	Origin and entitlement labels	Untrusted files mixed with trusted data and origin laundering	Every external object retains immutable origin signer trust and entitlement labels across copy transform IPC and storage	C2,C3,C4	Label propagation downgrade laundering C4-to-C3 promotion and cross-origin flow tests prove names classes and copies cannot upgrade trust	P3+P5	release
SEC-07	Storage namespaces and object capabilities	Path traversal unauthorized file access and overwrite	Processes see only capability-mounted objects and cannot name or traverse ambient global storage	C2,C3,C4	Path normalization link race mount escape unauthorized overwrite and cross-class entitlement matrix tests	P2+P3	release
SEC-08	Network namespaces and port capabilities	Remote exploitation exposed ports lateral movement and covert listeners	No task can bind connect listen route or receive traffic without a narrow endpoint capability	C2,C3,C4	Zero-listener default scans plus bind connect spoof fragment replay flood and namespace-escape tests from C3 and C4	P3+P5	release
SEC-09	Parser browser and active-content isolation	Browser document media script and deserialization attacks	Every complex untrusted parser runs as disposable C4 with no ambient authority and no C1 parser path	C1,C2,C3,C4	Privileged-symbol absence exploit corpus fuzzing sandbox escape malformed content JIT-disabled and clean-destroy tests	P2+P5	release
SEC-10	Quarantined download and install	Drive-by download illegal installation and payload activation	Downloaded C4 bytes are non-executable and promotion creates a fresh verified C3 process rather than changing trust in place	C2,C3,C4	MIME confusion polyglot archive traversal decompression bomb mutation-race unsigned installer and promotion-recreate tests	P2+P3+P5	release
SEC-11	Privacy partitioning and tracking resistance	Cross-origin cookies fingerprinting persistent identifiers and covert tracking	State is origin-partitioned least-lived inspectable and absent unless the deployment explicitly enables it	C2,C3,C4	Cross-origin cookie cache identifier timing C4 teardown and persistence tests plus clean-profile proof	P2+P3	release
SEC-12	Ransomware and worm containment	Bulk destructive writes self-propagation and persistence	System objects are immutable and no compromised C2 C3 or C4 domain has durable ambient mutation or propagation reach	C0,C2,C3,C4	Read-only-system snapshot rollback mutation-rate tripwire autorun denial cross-class lateral-propagation and clean-boot tests	P1.5+P3+P5	release
SEC-13	Opt-in signed driver isolation	Privileged driver compromise dormant-driver attack surface and malicious device code	An unselected driver is absent and a selected driver is isolated C2 rather than trusted C1	C0,C1,C2	Negative link-map plus IRQ DMA MMIO capability queue parser crash-restart and C2-to-C1 escape evidence for every profile	P0+P7	release
SEC-14	Unified policy and spoor provenance	Policy bypass audit deletion class ambiguity and repudiation	Every boundary decision records containment class and uses the same attributable ordered tamper-evident ACI path	C0,C1,C2,C3,C4	Cross-caller and cross-class equivalence sequence gap wrap pressure denial attribution promotion and journal tamper tests	P0+P5	release
SEC-15	Secret and credential isolation	Key theft replay credential export and confused key use	Private keys are non-exportable purpose-bound rotatable and never exposed to C2 C3 or C4 address spaces	C0,C1,C2,C3,C4	Wrong-purpose export replay revocation rotation cross-class cold-memory and crash-dump tests	P4+P5	release
SEC-16	Fable-class adaptive AI adversary resistance	Long-horizon autonomous exploit discovery chaining retry and tool misuse	Model output remains C4 hostile input and repeated actions cannot accumulate authority or cross into C1	C1,C3,C4	Multi-stage campaigns with hundreds of rewinds parallel probes cross-attempt memory authority-laundering and kill-switch verification	P0+P5+P6	release
SEC-17	Signed atomic update recovery and anti-rollback	Update-channel compromise partial install malicious patch and downgrade	Only C0-authorized monotonic updates activate atomically and failed C2 or C3 deployment preserves known-good boot	C0,C1,C2,C3	Wrong-key downgrade interrupted power revoked signer corrupted metadata class-confusion and recovery tests	P1.5	release
SEC-18	DMA IOMMU and device isolation	DMA overwrite malicious peripherals and MMIO escape	A C2 device service can access only current-generation granted DMA buffers IRQs and MMIO windows and never C0 or C1 memory	C0,C1,C2	IOMMU fault stale DMA descriptor hot-unplug reset IRQ spoof cross-device and C1-memory access tests	P0+P7	release
SEC-19	Memory-safe core and unsafe-boundary containment	Memory corruption integer overflow use-after-free and unsafe-code defects	C1 hostile-format parsing is absent while every unavoidable C0 C1 or C2 unsafe boundary is narrow inventoried and tested	C0,C1,C2,C3,C4	Miri sanitizer fuzz property integer-boundary privileged-parser absence and unsafe-inventory review evidence	P0	release
SEC-20	Resource exhaustion containment	Queue flood allocation starvation parser bombs retry storms and denial of service	Every C1 through C4 resource has a declared bound and containment class never implies scheduling priority or access to RT reserves	C1,C2,C3,C4	Capacity-edge exhaustion decompression bomb retry storm cross-class starvation priority-orthogonality and recovery-latency tests	P0+cross	release
